Country Name,Country Code,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SP.POP.1564.TO.ZS,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SI.POV.GAPS,SI.POV.UMIC.GP,SH.IMM.MEAS,SH.IMM.IDPT,SG.GEN.PARL.ZS,EN.ATM.CO2E.PC,EN.ATM.METH.KT.CE,EN.ATM.GHGT.KT.CE,SH.H2O.SMDW.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.BASW.RU.ZS
Afghanistan,AFG,19955929060.841003,512.0550982286875,53.7751348360726,43.8079121491391,2.41695301478831,49.4709437976734,50.5290587682563,38972230,NA,NA,66,70,27.0161290322581,0.2234788720070676,16222.03596,31119.04539,28.4025051496417,35.5936042154667,69.8851732779974
Albania,ALB,15162734205.246202,5343.037703995597,67.7063681600196,16.4715191611974,15.822112678783,49.9880530854607,50.0119469145393,2837849,0,3.2,91,98,29.5081967213115,1.5445501152457373,2692.195886,8304.29494,70.6745374149515,NA,94.0913580589588
Algeria,DZA,145743542982.62775,3354.1531637159264,63.3354472530466,30.647082668821,6.01747007813233,49.0631751611089,50.9368248388911,43451666,NA,NA,80,84,25.7575757575758,3.718223370307596,86543.92362,266702.6795,72.2481473302903,74.5317100302898,90.0375379064358
American Samoa,ASM,721000000,15609.77721968434,65.3478100846522,28.1982723159194,6.45391759942843,50.3756305613891,49.6243694386109,46189,NA,NA,NA,NA,NA,NA,NA,NA,89.8545469094066,NA,NA
Andorra,AND,2891002460.2915344,37207.23887119092,72.470398970399,13.3346203346203,14.1949806949807,49.014157014157,50.984555984556,77700,NA,NA,98,99,46.4285714285714,5.7771479922779925,53.600959,577.573639,90.6399986650032,NA,100
Angola,AGO,48501561230.00098,1450.9051121848886,52.1034231104574,45.3066016809735,2.58997520856912,50.5885579143489,49.4114420856511,33428486,NA,NA,44,51,30,0.5927429677790373,32703.23811,70781.0562,NA,NA,27.8082266100648
Antigua and Barbuda,ATG,1410796296.2962961,15224.858589056117,71.1128377795044,19.082383665717,9.80477855477855,52.2619355952689,47.7380644047311,92664,NA,NA,89,96,11.1111111111111,5.121730121730122,204.865822,1203.631334,NA,NA,98.3489563398159
Argentina,ARG,385740508436.9652,8500.837938505336,64.6161477991667,23.6563980592251,11.7274541416082,50.4907514942702,49.5092485057298,45376763,0.4,5,77,74,40.8560311284047,3.4056175404138016,131035.6894,361433.0173,NA,NA,NA
Armenia,ARM,12641698583.215239,4505.8677417569525,67.2487804339059,20.3433230260031,12.407896540091,54.893520406272,45.1065152366261,2805608,0.1,14.1,94,91,23.4848484848485,2.404683761951064,2319.921617,10422.04117,82.6858187854657,NA,100
Aruba,ABW,2558906303.8809776,24008.12782174769,67.7120031524284,17.3510219591029,14.9369748884688,52.8901815452456,47.108880236431,106585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,1330381544909.3044,51868.24755678234,65.2246788528912,18.5417282291673,16.2335929179415,50.3771496207779,49.6228464836318,25649248,NA,NA,93,95,30.4635761589404,14.776136906625878,131484.7632,571903.1199,NA,99.5693262416794,100
Austria,AUT,435049316955.73663,48789.49784988721,66.4473526896778,14.4032175479921,19.1494297623302,50.7974773055051,49.2025226944949,8916864,0.6,0.8,95,85,39.344262295082,6.632645737335458,6863.078458,71017.8287,98.9006430846756,NA,100
Azerbaijan,AZE,42693000000,4229.910649045028,69.3043797680709,24.2241066583594,6.47151357356977,50.629993278529,49.370006721471,10093121,NA,NA,82,79,17.3553719008264,3.39884957289227,15733.13101,55351.99383,70.6733099660733,92.275,91.6567214544672
"Bahamas, The",BHS,9754600000,23998.268019120675,71.5545862379035,20.1664815368359,8.27893222526057,52.1476316883615,47.8523683116385,406471,NA,NA,87,83,12.8205128205128,6.042251476735117,223.17922,2801.144379,NA,NA,NA
Bahrain,BHR,34621807712.76596,23433.187236257385,76.5039063425358,20.298970739826,3.1971229176382,37.702246206181,62.297753793819,1477469,NA,NA,99,98,15,21.97690780652589,17641.43403,54151.41004,98.9039755631804,NA,NA
Bangladesh,BGD,373902197869.1603,2233.3059012976237,67.3848587426339,26.9821786730329,5.6329625843332,50.3863079836406,49.6136914190626,167420951,NA,NA,97,98,20.9169054441261,0.5106475592770943,88903.99717,206570.3527,58.6559977739333,52.9795575873029,98.0539376197978
Barbados,BRB,4738800000,16882.50152301625,67.4705104865458,17.3732512032719,15.1562383101823,52.0729052737332,47.9270947262668,280693,NA,NA,89,85,20,3.9048711581692452,2359.570952,3656.467698,NA,NA,NA
Belarus,BLR,61371755326.2351,6542.864539843605,66.6075394079797,16.8397311511557,16.5527294408646,53.8599339405049,46.1400660594951,9379952,0,0.2,97,97,40,5.842407295900875,17079.26291,87868.32147,92.9371107737105,NA,97.3488613255374
Belgium,BEL,526264230147.3945,45609.00349361105,63.9988837297645,16.7934968825779,19.2076193876575,50.6365360785081,49.3634639214919,11538604,0,0.1,96,97,41.3333333333333,7.398130657746813,7974.086619,100063.4878,99.7228120895798,NA,100
Belize,BLZ,2047727810.06777,5185.158069760205,66.4179246202717,28.7764246221708,4.80565075755753,49.6582860875973,50.3417139124027,394921,NA,NA,82,79,9.67741935483871,1.741107715213929,514.044829,1573.319685,NA,NA,97.9952075788972
Benin,BEN,15686741893.518715,1240.7331553698177,54.1984761201801,42.712662844457,3.08886103536286,49.9271184817232,50.0728815182768,12643123,NA,NA,65,72,7.2289156626506,0.6312048059644757,4029.619412,16190.53196,NA,NA,60.0251710113601
Bermuda,BMU,6887147000,107791.88643513374,66.048211399255,14.9296038606602,19.0221847400848,51.6812169105589,48.318783089441,63893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
